GEOID,MHI_2013,MHI_2023,Rent_2013,Rent_2023,Value_2013,Value_2023,Income_Change_%,Rent_Change_%,Value_Change_%,OwnerPct_2013,RenterPct_2013,OwnerPct_2023,RenterPct_2023,OwnerChangePct,RenterChangePct
24031700902,88068.0,116982.0,1608.0,1804.0,326000.0,455100.0,32.831448426216106,12.18905472636816,39.60122699386503,76.54145995747696,23.458540042523033,65.60457516339869,34.39542483660131,-10.936884794078267,10.936884794078274
24031700903,82222.0,103365.0,1501.0,2116.0,338700.0,485600.0,25.71452895818637,40.97268487674883,43.371715382344256,36.74121405750799,63.25878594249201,43.48441926345609,56.51558073654391,6.743205205948101,-6.743205205948101
24031700904,68571.0,91136.0,1387.0,2027.0,267900.0,622900.0,32.90749733852503,46.14275414563807,132.51213139231058,7.095709570957095,92.9042904290429,10.646108663729809,89.35389133627018,3.5503990927727136,-3.5503990927727216
24031700905,86630.0,103924.0,1704.0,2144.0,609700.0,843900.0,19.96306129516334,25.821596244131456,38.41233393472199,26.863666890530556,73.13633310946945,13.892145369284878,86.10785463071512,-12.971521521245679,12.971521521245677
24031701001,101346.0,149402.0,1481.0,1751.0,521800.0,733700.0,47.41775699090245,18.23092505064146,40.60942889996167,80.47229791099001,19.527702089009992,74.12488174077578,25.875118259224216,-6.347416170214231,6.347416170214224
24031701002,203125.0,226528.0,2000.0,3039.0,688800.0,929500.0,11.521476923076923,51.95,34.944831591173056,68.3249370277078,31.67506297229219,92.2782874617737,7.721712538226299,23.953350434065896,-23.95335043406589
24031701004,108603.0,148301.0,1794.0,2899.0,537200.0,683500.0,36.55331804830438,61.59420289855072,27.23380491437081,74.19918462434478,25.800815375655212,71.6012084592145,28.3987915407855,-2.5979761651302766,2.5979761651302873
24031701005,121250.0,164028.0,2000.0,3054.0,639400.0,731700.0,35.28082474226804,52.7,14.435408195182983,80.41704442429737,19.58295557570263,74.54819277108435,25.451807228915662,-5.868851653213028,5.8688516532130315
24031701006,138167.0,195417.0,2000.0,2554.0,606600.0,842800.0,41.435364450266704,27.700000000000003,38.938344873062974,89.24191750278708,10.758082497212932,89.74358974358975,10.256410256410255,0.5016722408026766,-0.5016722408026766
24031701007,99539.0,122531.0,1879.0,2457.0,597700.0,741700.0,23.09848401129205,30.76104310803619,24.09235402375774,36.36363636363637,63.63636363636363,56.49717514124294,43.50282485875706,20.133538777606574,-20.133538777606574
24031701101,103869.0,149651.0,1961.0,2573.0,343800.0,548700.0,44.07667350219989,31.20856705762366,59.59860383944153,83.24937027707809,16.750629722921914,90.76923076923077,9.230769230769232,7.519860492152688,-7.519860492152683
24031701102,79719.0,126402.0,1942.0,2329.0,318100.0,494300.0,58.55944003311632,19.92790937178167,55.39138635649167,71.49829184968277,28.501708150317228,69.26648096564531,30.73351903435469,-2.2318108840374578,2.2318108840374613
24031701201,91693.0,135443.0,1545.0,2395.0,337300.0,459800.0,47.71356592106268,55.016181229773466,36.31781796620219,51.49651496514965,48.50348503485035,66.29885057471265,33.701149425287355,14.802335609562995,-14.802335609562995
24031701202,142813.0,243125.0,2000.0,3076.0,618600.0,841100.0,70.24010419219539,53.8,35.96831555124474,93.25276938569989,6.747230614300101,88.87814313346229,11.121856866537717,-4.374626252237604,4.374626252237617
24031701205,174792.0,219118.0,2000.0,3248.0,796400.0,996100.0,25.359284177765574,62.4,25.075339025615268,78.71452420701168,21.285475792988315,80.05148005148006,19.948519948519948,1.3369558444683776,-1.336955844468367
24031701206,141151.0,246090.0,2000.0,3500.0,657600.0,815200.0,74.34520478069585,75.0,23.96593673965937,87.05140640155189,12.948593598448108,85.23613021549747,14.763869784502523,-1.8152761860544189,1.8152761860544153
24031701210,185556.0,243261.0,2000.0,,768200.0,955000.0,31.09842850675807,,24.31658422285863,93.73015873015873,6.26984126984127,94.04069767441861,5.959302325581396,0.31053894425987494,-0.31053894425987405
24031701211,114255.0,116864.0,1827.0,2247.0,568100.0,675300.0,2.2834886875847884,22.988505747126435,18.869917268086606,50.7890365448505,49.2109634551495,58.162821070962124,41.837178929037876,7.373784526111628,-7.373784526111628
24031701212,152656.0,196607.0,2000.0,3199.0,492700.0,671100.0,28.790876218425744,59.95,36.20864623503146,88.04469273743017,11.955307262569832,94.48275862068965,5.517241379310345,6.438065883259483,-6.438065883259487
24031701213,121938.0,,1988.0,,493500.0,,,,,,,,,,
24031701214,90223.0,101115.0,1711.0,2053.0,251500.0,,12.072309721467915,19.988310929281123,,40.87085601187531,59.12914398812469,38.39009287925697,61.60990712074303,-2.4807631326183426,2.4807631326183426
24031701215,84536.0,111277.0,1619.0,1884.0,281000.0,298900.0,31.6326772026119,16.368128474366895,6.370106761565836,47.04236610711431,52.95763389288569,50.68979109184075,49.31020890815924,3.6474249847264417,-3.647424984726449
24031701216,86667.0,114757.0,1946.0,2281.0,425200.0,512100.0,32.41141380225461,17.21479958890031,20.43744120413923,25.839499146272054,74.16050085372795,43.711419753086425,56.288580246913575,17.87192060681437,-17.871920606814378
24031701218,74565.0,85104.0,1708.0,1850.0,403100.0,413100.0,14.133977066988535,8.313817330210773,2.4807740014884643,19.82167352537723,80.17832647462278,15.211062590975255,84.78893740902474,-4.610610934401974,4.6106109344019615
24031701219,59375.0,74559.0,1533.0,1894.0,,,25.573052631578943,23.54859752120026,,0.31545741324921134,99.6845425867508,1.4615384615384615,98.53846153846155,1.14608104828925,-1.146081048289247
24031701220,180529.0,245505.0,1245.0,3337.0,857400.0,1042800.0,35.99200128511208,168.0321285140562,21.623512946116165,93.97697077059345,6.023029229406554,96.15069615069615,3.8493038493038494,2.1737253801026952,-2.173725380102705
24031701221,124213.0,182458.0,1833.0,2304.0,1000000.0,1056600.0,46.89122716623864,25.695581014729957,5.66,52.88235294117647,47.11764705882353,49.24242424242424,50.75757575757576,-3.639928698752229,3.639928698752229
24031701222,,155167.0,,2476.0,,753600.0,,,,,,,,,
24031701223,,126736.0,,2535.0,,439600.0,,,,,,,,,
24031701303,133182.0,194038.0,2000.0,3417.0,607300.0,731400.0,45.69386253397607,70.85000000000001,20.434711015972336,96.83357879234168,3.166421207658321,91.1042944785276,8.895705521472392,-5.729284313814077,5.729284313814071
24031701304,122708.0,195667.0,2000.0,2617.0,444500.0,631200.0,59.4574110897415,30.85,42.00224971878515,95.42910447761194,4.57089552238806,91.83366733466933,8.16633266533066,-3.5954371429426146,3.5954371429426004
24031701306,149375.0,210288.0,,2685.0,588600.0,730900.0,40.77857740585774,,24.17601087325858,95.80193756727664,4.198062432723358,99.10714285714286,0.8928571428571428,3.3052052898662225,-3.305205289866215
24031701307,142266.0,184348.0,1742.0,2260.0,569100.0,796900.0,29.57980121743776,29.73593570608496,40.02811456685996,93.33773087071239,6.662269129287599,95.8649789029536,4.135021097046414,2.5272480322412036,-2.527248032241185
24031701308,148885.0,165473.0,246.0,451.0,785000.0,770800.0,11.141485038788328,83.33333333333334,-1.8089171974522291,92.48516809492419,7.514831905075807,91.70081967213115,8.299180327868852,-0.7843484227930446,0.7843484227930446
24031701312,135725.0,164485.0,1079.0,2323.0,523500.0,584900.0,21.189906060047893,115.29193697868396,11.728748806112703,88.40141200201714,11.598587997982854,86.38113570741098,13.618864292589027,-2.0202762946061625,2.020276294606173
24031701313,111853.0,172167.0,1830.0,2306.0,464700.0,625800.0,53.92255907306912,26.01092896174864,34.667527437056165,88.38028169014085,11.619718309859154,86.28708901363272,13.712910986367282,-2.0931926765081244,2.093192676508128
24031701314,104457.0,165163.0,1419.0,2631.0,392200.0,546800.0,58.115779698823445,85.41226215644821,39.41866394696583,84.20019627085378,15.799803729146223,90.85365853658537,9.146341463414634,6.653462265731591,-6.653462265731589
24031701315,114417.0,155948.0,1487.0,2560.0,438600.0,485800.0,36.29792775549088,72.15870880968393,10.761513907888736,73.55473554735548,26.44526445264453,75.6210283073368,24.3789716926632,2.066292759981323,-2.06629275998133
24031701316,118158.0,177266.0,1459.0,2079.0,651200.0,782800.0,50.02454340797915,42.494859492803286,20.208845208845208,91.63199260286639,8.36800739713361,81.36986301369863,18.63013698630137,-10.262129589167756,10.26212958916776
