FID,County,School Name,Address,City,zip,Type,Grades,Format,GlobalID,x,y
1161,Baltimore,Shady Spring Elementary School,8868 Goldenwood Road,Baltimore,0,Public Elementary,PreK-5,Public,8cad3c6c-e4f5-409e-88da-793bba242097,1453093.29461618,610864.193877429
1162,Baltimore City,Sharp-Leadenhall Special Education Elementary School # 314,150 West West Street,Baltimore,0,Public Special Education,K-5,Public,da0a5c48-9a9a-4e9d-9159-dfe8c3c433b6,1420208.4561865,586470.797454342
1163,Washington,Sharpsburg Elementary School,17525 Shepherdstown Pike,Sharpsburg,0,Public Elementary,PreK-5,Public,7e87800d-c231-480f-8ab6-b11162f41599,1098359.14450584,652327.071909502
1164,Montgomery,Sherwood Elementary School,1401 Olney-Sandy Spring Road,Sandy Spring,0,Public Elementary,K-5,Public,89ba79aa-7958-4243-81a1-eecf9353c42d,1302963.71364234,540202.499243096
1165,Montgomery,Sherwood High School,300 Olney-Sandy Spring Road,Sandy Spring,0,Public High,9-12,Public,e1dcf51a-7e24-478e-9aa9-514d4fcaff7f,1306847.6238535,539091.063801929
1166,Carroll,Shiloh Middle School,3675 Willow Street,Hampstead,0,Public Middle,6-8,Public,f0abe569-ef32-44d0-8424-9c90952273f2,1351515.65098709,703893.237805843
1167,Anne Arundel,Shipley's Choice Elementary School,310 Governor Stone Parkway,Millersville,0,Public Elementary,K-5,Public,e7ecc3c6-beb2-4208-aeb0-756646adcd80,1422723.8668381,522894.551575586
1168,Worcester,Showell Elementary School,11318 Showell School Road,Berlin,0,Public Elementary,PreK-3,Public,1d6f450f-598a-471e-a81b-6a0e9c6c2ae5,1830514.9154276,268780.818990424
1169,Montgomery,Shriver (Sargent) Elementary School,12518 Greenly Drive,Silver Spring,0,Public Elementary,PreK-5,Public,ad56275e-b6d2-4bbc-bb6d-f077840bf3d6,1289731.644306,507931.137276754
1170,Montgomery,Silver Spring International Middle School,313 Wayne Avenue,Silver Spring,0,Public Middle,6-8,Public,e5d440ba-1d0e-414e-8d98-c34be72ffb38,1308274.93825608,485856.961280838
1171,Baltimore City,Sinclair Lane Elementary School # 248,3880 Sinclair Lane,Baltimore,0,Public Elementary,PreK-5,Public,31a8adaf-694b-46b9-bed1-6cfe7e6e7b16,1436673.20869,600657.866193011
1172,Montgomery,Singer (Flora M.) Elementary School,2600 Hayden Drive,Silver Spring,0,Public Elementary,PreK-5,Public,33b4ff2c-8901-4aca-96d0-45c4f5be3974,1296817.85224642,492402.169319004
1173,Montgomery,Sligo Creek Elementary School,500 Schuyler Avenue,Silver Spring,0,Public Elementary,K-5,Public,c94f3a0e-3b87-47a0-8b4d-02f3cb32f643,1307799.66295992,486019.10793817
1174,Montgomery,Sligo Middle School,1401 Dennis Avenue,Silver Spring,0,Public Middle,6-8,Public,b9ca43cd-3337-4220-acd4-e00fca002b82,1302926.93976575,495190.332705915
1175,Montgomery,Smith (Lathrop E.) Enviromental Education Center,5110 Meadowside Lane,Rockville,0,Public Environmental Education,N/A,Public,176faa88-396a-41ed-9970-dc15d5b95ace,1281146.37440309,527604.845632672
1176,Washington,Smithsburg Elementary School,67 North Main Street,Smithsburg,0,Public Elementary,PreK-5,Public,1c86d83c-6d87-4cfc-ab80-506715ead20e,1149769.27626543,725397.390991673
1177,Washington,Smithsburg High School,66 North Main Street,Smithsburg,0,Public High,9-12,Public,6cf145e3-3cc8-404a-94a0-2fe7b2e0e218,1150404.59651709,726410.839752167
1178,Washington,Smithsburg Middle School,68 North Main Street,Smithsburg,0,Public Middle,6-8,Public,ae40c2be-bb5c-4467-825d-c42c4a5a981d,1150673.76133309,727266.297358841
1179,Worcester,Snow Hill Elementary School,515 Coulbourne Lane,Snow Hill,0,Public Elementary,PreK-3,Public,dd17a771-669e-46c7-b40b-23ed6ec2c332,1773579.13428625,185612.864263669
1180,Worcester,Snow Hill High School,305 South Church Street,Snow Hill,0,Public High,9-12,Public,c0ac7fa8-891b-4042-bf87-14a2437f37f8,1775294.49207601,186968.569885582
1181,Worcester,Snow Hill Middle School,522 Coulbourne Lane,Snow Hill,0,Public Elementary/Middle,4-8,Public,d5103cf1-708d-48d3-877f-10c98edebcfc,1773092.22482701,186293.519398421
